;;;;;;;;;;;Package.Mass.Value;;
ID;WEEK COM;MONTH;ORIGIN;ORIGIN CITY;DESTINATION  (DROP LIST);MODE;UNITS;CARTON;GOH UNITS;TOTAL UNITS;WEIGHT;CBM;TYPE
562;1/24/2022;January;Turkey;Istanbul;DE;Road;30950;1297;0;30950;12970;93,384;FTL
563;1/24/2022;January;Turkey;Istanbul;UK;Road;23140;653;0;23140;6530;47,016;LTL
564;1/24/2022;January;Turkey;Istanbul;DE;Road;60500;1275;0;60500;12750;91,8;FTL
565;1/24/2022;January;Spain;Barcelona;CZ;Road;9403;474;0;9403;4740;34,128;FTL
566;1/24/2022;January;Spain;Barcelona;CZ;Road;12861;582;0;12861;5820;41,904;FTL
567;1/24/2022;January;Spain;Barcelona;CZ;Road;24017;961;0;24017;9610;69,192;FTL
568;1/24/2022;January;Spain;Barcelona;CZ;Road;20652;998;0;20652;9980;71,856;FTL
569;1/24/2022;January;;;CZ;Road;15561;769;0;15561;7690;55,368;FTL
570;1/24/2022;January;Spain;Barcelona;CZ;Road;9619;583;0;9619;5830;41,976;FTL
571;1/24/2022;January;Spain;Barcelona;CZ;Road;12883;731;0;12883;7310;52,632;FTL
572;1/31/2022;January;Turkey;Istanbul;US;Sea;15828;768;0;15828;7680;55,296;FCL
573;1/31/2022;January;Turkey;Istanbul;US;Sea;6206;323;0;6206;3230;23,256;FCL
574;1/31/2022;January;Turkey;Istanbul;US;Sea;16842;678;0;16842;6780;48,816;FCL
575;1/31/2022;January;Turkey;Istanbul;US;Sea;17453;950;0;17453;9500;68,4;FCL
576;1/31/2022;January;Turkey;Istanbul;US;Sea;12302;705;0;12302;7050;50,76;FCL
577;1/31/2022;January;Turkey;Istanbul;UK;Road;40693;1327;0;40693;13270;95,544;FTL
578;1/31/2022;January;Turkey;Istanbul;UK;Road;54023;1269;0;54023;12690;91,368;FTL
579;1/31/2022;January;Turkey;Istanbul;UK;Road;33188;1325;0;33188;13250;95,4;FTL
580;1/31/2022;January;Turkey;Istanbul;UK;Road;35454;1324;0;35454;13240;95,328;FTL
581;1/31/2022;January;Turkey;Istanbul;UK;Road;22780;715;0;22780;7150;51,48;LTL
582;1/31/2022;January;Turkey;Istanbul;UK;Road;22882;1131;0;22882;11310;81,432;FTL
583;1/31/2022;January;Turkey;Istanbul;DE;Road;25525;1255;0;25525;12550;90,36;FTL
584;1/31/2022;January;Turkey;Istanbul;DE;Road;28195;1127;0;28195;11270;81,144;FTL
585;1/31/2022;January;Turkey;Istanbul;UK;Road;32653;1327;0;32653;13270;95,544;FTL
586;1/31/2022;January;Spain;Madrid;CZ;Road;21076;786;0;21076;7860;56,592;FTL
587;1/31/2022;January;Spain;Barcelona;CZ;Road;24025;779;0;24025;7790;56,088;FTL
588;1/31/2022;January;Spain;Barcelona;CZ;Road;26231;677;0;26231;6770;48,744;FTL
589;1/31/2022;January;Spain;Barcelona;CZ;Road;10517;482;0;10517;4820;34,704;FTL
590;1/31/2022;January;Spain;Barcelona;CZ;Road;16062;955;0;16062;9550;68,76;FTL
591;1/31/2022;January;Spain;Barcelona;CZ;Road;18862;934;0;18862;9340;67,248;FTL
592;1/31/2022;January;Spain;Barcelona;CZ;Road;5101;406;0;5101;4060;29,232;FTL
593;1/31/2022;January;Spain;Barcelona;CZ;Road;23227;1121;0;23227;11210;80,712;FTL
594;1/31/2022;January;Spain;Barcelona;CZ;Road;10129;568;0;10129;5680;40,896;FTL
595;2/7/2022;Febuary;Spain;Barcelona;CZ;Road;22200;984;0;22200;9840;70,848;FTL
596;2/7/2022;Febuary;Spain;Madrid;CZ;Road;21117;784;0;21117;7840;56,448;FTL
597;2/7/2022;Febuary;Spain;Barcelona;CZ;Road;16221;795;0;16221;7950;57,24;FTL
598;2/7/2022;Febuary;Spain;Barcelona;CZ;Road;13811;651;0;13811;6510;46,872;FTL
599;2/7/2022;Febuary;Spain;Barcelona;CZ;Road;12131;559;0;12131;5590;40,248;FTL
600;2/7/2022;Febuary;Spain;Barcelona;CZ;Road;23012;995;0;23012;9950;71,64;FTL
601;2/7/2022;Febuary;Turkey;Istanbul;US;Sea;21842;994;0;21842;9940;71,568;FCL
602;2/7/2022;Febuary;Turkey;Istanbul;US;Sea;21842;994;0;21842;9940;71,568;FCL
603;2/7/2022;Febuary;Turkey;Istanbul;US;Sea;17808;993;0;17808;9930;71,496;FCL
604;2/7/2022;Febuary;Turkey;Istanbul;US;Sea;17808;993;0;17808;9930;71,496;FCL
605;2/7/2022;Febuary;Turkey;Istanbul;US;Sea;12302;705;0;12302;7050;50,76;FCL
606;2/7/2022;Febuary;Turkey;Istanbul;UK;Road;70182;1237;0;70182;12370;89,064;FTL
607;2/7/2022;Febuary;Turkey;Istanbul;DE;Road;37828;1321;0;37828;13210;95,112;FTL
608;2/7/2022;Febuary;Turkey;Istanbul;DE;Road;25813;1049;2097;27910;12587;75,528;FTL
609;2/7/2022;Febuary;Turkey;Istanbul;UK;Road;17354;1035;3336;20690;13686;74,52;FTL
610;2/14/2022;Febuary;Turkey;Istanbul;US;Sea;11615;381;0;11615;3810;27,432;FCL
611;2/14/2022;Febuary;Spain;Madrid;CZ;Road;18957;956;0;18957;9560;68,832;FTL
612;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;20988;515;0;20988;5150;37,08;FTL
613;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;19156;618;0;19156;6180;44,496;FTL
614;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;20811;660;0;20811;6600;47,52;FTL
615;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;19382;814;0;19382;8140;58,608;FTL
616;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;15094;715;0;15094;7150;51,48;FTL
617;2/14/2022;Febuary;Spain;Barcelona;CZ;Road;15911;686;0;15911;6860;49,392;FTL
618;2/14/2022;Febuary;Turkey;Istanbul;US;Sea;18506;1069;0;18506;10690;76,968;FCL
619;2/14/2022;Febuary;Turkey;Istanbul;US;Sea;16870;960;0;16870;9600;69,12;FCL
620;2/14/2022;Febuary;Turkey;Istanbul;US;Sea;21473;1090;0;21473;10900;78,48;FCL
621;2/14/2022;Febuary;Turkey;Istanbul;US;Sea;15713;957;0;15713;9570;68,904;FCL
622;2/14/2022;Febuary;Turkey;Istanbul;UK;Road;45490;1363;0;45490;13630;98,136;FTL
623;2/14/2022;Febuary;Turkey;Istanbul;DE;Road;29471;1020;0;29471;10200;73,44;LTL
624;2/14/2022;Febuary;Turkey;Istanbul;DE;Road;30484;1309;0;30484;13090;94,248;FTL
625;2/14/2022;Febuary;Turkey;Istanbul;DE;Road;31042;1240;0;31042;12400;89,28;FTL
626;2/14/2022;Febuary;Turkey;Istanbul;UK;Road;32795;1322;0;32795;13220;95,184;FTL
